Artista,Artista Album,Titolo,Posizione,Durata,Album,Anno,Paese,Etichetta,Catalogo,Formato,Genere,Stile,Cartella,URL Discogs,Cover,Written By,Crediti Traccia,Note
Achille Togliani,Various,La Signora Di Trent'Anni Fa,A2,3:24,"Salotti E Cabaret Anni '20: ""C'Eravamo Tanto Amati""",1982,Italy,"Gruppo Editoriale Fabbri, Ariston","362517, 362517",Vinyl / LP | Compilation,Pop,"Chanson, Vocal, Ballad",Comp. Ita,https://www.discogs.com/release/2951251-Various-Salotti-E-Cabaret-Anni-20-CEravamo-Tanto-Amati,https://i.discogs.com/Rl3E8wttWkA-Xt4hYc10XFpJ_NEKsoB0QW7aV7d9EM4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NTEy/NTEtMTMwODc4ODc5/OC5qcGVn.jpeg,Guido Leoni | Oreste Natoli,Guido Leoni [Written-By] | Oreste Natoli [Written-By],
Milva,Various,Le Rose Rosse,A3,3:15,"Salotti E Cabaret Anni '20: ""C'Eravamo Tanto Amati""",1982,Italy,"Gruppo Editoriale Fabbri, Ariston","362517, 362517",Vinyl / LP | Compilation,Pop,"Chanson, Vocal, Ballad",Comp. Ita,https://www.discogs.com/release/2951251-Various-Salotti-E-Cabaret-Anni-20-CEravamo-Tanto-Amati,https://i.discogs.com/Rl3E8wttWkA-Xt4hYc10XFpJ_NEKsoB0QW7aV7d9EM4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NTEy/NTEtMTMwODc4ODc5/OC5qcGVn.jpeg,E. A. Mario,E. A. Mario [Written-By],
Claudio Villa,Various,Addio Signora,A4,3:13,"Salotti E Cabaret Anni '20: ""C'Eravamo Tanto Amati""",1982,Italy,"Gruppo Editoriale Fabbri, Ariston","362517, 362517",Vinyl / LP | Compilation,Pop,"Chanson, Vocal, Ballad",Comp. Ita,https://www.discogs.com/release/2951251-Various-Salotti-E-Cabaret-Anni-20-CEravamo-Tanto-Amati,https://i.discogs.com/Rl3E8wttWkA-Xt4hYc10XFpJ_NEKsoB0QW7aV7d9EM4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NTEy/NTEtMTMwODc4ODc5/OC5qcGVn.jpeg,Ennio Neri | Gino Simi,Ennio Neri [Written-By] | Gino Simi [Written-By],
Milva,Various,Finestra Chiusa,B1,3:20,"Salotti E Cabaret Anni '20: ""C'Eravamo Tanto Amati""",1982,Italy,"Gruppo Editoriale Fabbri, Ariston","362517, 362517",Vinyl / LP | Compilation,Pop,"Chanson, Vocal, Ballad",Comp. Ita,https://www.discogs.com/release/2951251-Various-Salotti-E-Cabaret-Anni-20-CEravamo-Tanto-Amati,https://i.discogs.com/Rl3E8wttWkA-Xt4hYc10XFpJ_NEKsoB0QW7aV7d9EM4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NTEy/NTEtMTMwODc4ODc5/OC5qcGVn.jpeg,Alfredo Bracchi | Giovanni D'Anzi,Alfredo Bracchi [Written-By] | Giovanni D'Anzi [Written-By],
Achille Togliani,Various,Chi Siete ?,B2,2:25,"Salotti E Cabaret Anni '20: ""C'Eravamo Tanto Amati""",1982,Italy,"Gruppo Editoriale Fabbri, Ariston","362517, 362517",Vinyl / LP | Compilation,Pop,"Chanson, Vocal, Ballad",Comp. Ita,https://www.discogs.com/release/2951251-Various-Salotti-E-Cabaret-Anni-20-CEravamo-Tanto-Amati,https://i.discogs.com/Rl3E8wttWkA-Xt4hYc10XFpJ_NEKsoB0QW7aV7d9EM4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NTEy/NTEtMTMwODc4ODc5/OC5qcGVn.jpeg,Mario Cosentino (2) | Tommaso De Filippis,Mario Cosentino (2) [Written-By] | Tommaso De Filippis [Written-By],
Nilo Ossani,Various,Come Pioveva,B3,4:02,"Salotti E Cabaret Anni '20: ""C'Eravamo Tanto Amati""",1982,Italy,"Gruppo Editoriale Fabbri, Ariston","362517, 362517",Vinyl / LP | Compilation,Pop,"Chanson, Vocal, Ballad",Comp. Ita,https://www.discogs.com/release/2951251-Various-Salotti-E-Cabaret-Anni-20-CEravamo-Tanto-Amati,https://i.discogs.com/Rl3E8wttWkA-Xt4hYc10XFpJ_NEKsoB0QW7aV7d9EM4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NTEy/NTEtMTMwODc4ODc5/OC5qcGVn.jpeg,Armando Gill | Michele Testa,Armando Gill [Written-By] | Michele Testa [Written-By],
Carlo Moreno,Various,Ricordi Ancor Le Mie Parole,B4,3:23,"Salotti E Cabaret Anni '20: ""C'Eravamo Tanto Amati""",1982,Italy,"Gruppo Editoriale Fabbri, Ariston","362517, 362517",Vinyl / LP | Compilation,Pop,"Chanson, Vocal, Ballad",Comp. Ita,https://www.discogs.com/release/2951251-Various-Salotti-E-Cabaret-Anni-20-CEravamo-Tanto-Amati,https://i.discogs.com/Rl3E8wttWkA-Xt4hYc10XFpJ_NEKsoB0QW7aV7d9EM4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NTEy/NTEtMTMwODc4ODc5/OC5qcGVn.jpeg,Alfredo Bracchi | Giovanni D'Anzi,Alfredo Bracchi [Written-By] | Giovanni D'Anzi [Written-By],
I Pooh,Various,Giorni Infiniti,A1,4:35,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Raf (5),Various,Oggi Un Dio Non Ho,A2,4:05,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Pierangelo Bertoli,Various,Spunta La Luna Dal Monte,A3,3:40,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Ornella Vanoni,Various,Roccia,A4,3:44,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Mina (3),Various,Il Cielo In Una Stanza,A5,2:52,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Equipe 84,Various,Diario,A6,3:59,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Gino Paoli,Various,Saremo Una Canzone,B1,3:55,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Umberto Tozzi,Various,Se Tu Mi Aiuterai,B2,4:20,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Enrico Ruggeri,Various,I Ragazzi Che Volano Via,B3,3:55,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Anna Oxa,Various,Donna Con Te,B4,3:40,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Dik Dik,Various,L'Isola Di Wight,B5,3:40,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
Fiorella Mannoia,Various,L'Aiuola,B6,3:16,I Grandi Cantanti Di Missione Bonta',1991,Italy,J.P.,JPLP 603,Vinyl / LP | Compilation,"Electronic, Pop","Italo-Disco, Chanson",Comp. Ita,https://www.discogs.com/release/2187355-Various-I-Grandi-Cantanti-Di-Missione-Bonta,https://i.discogs.com/wUJbocOELIy2SwNJObhw6dqRhqN9cPUPt1Y2I5vcwVs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODcz/NTUtMTUyMzY5NTA5/Mi04MjU1LmpwZWc.jpeg,,,
George Saxon,George Saxon,Bella Senz'Anima,A1,3:48,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Marco Luberti | Paolo Amerigo Cassella | Riccardo Cocciante,Marco Luberti [Written-By] | Paolo Amerigo Cassella [Written-By] | Riccardo Cocciante [Written-By],
George Saxon,George Saxon,Emmanuelle,A2,3:14,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Pierre Bachelet,Pierre Bachelet [Written-By],
George Saxon,George Saxon,Lights And Shadows,A3,2:17,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Alberto Baldan Bembo,Alberto Baldan Bembo [Written-By],
George Saxon,George Saxon,Snoopy,A4,3:08,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Gianni Bedori,Gianni Bedori [Written-By],
George Saxon,George Saxon,Se Sai Se Puoi Se Vuoi,A5,4:55,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Roby Facchinetti | Valerio Negrini,Roby Facchinetti [Written-By] | Valerio Negrini [Written-By],
George Saxon,George Saxon,My Free Days,A6,3:01,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Alberto Baldan Bembo,Alberto Baldan Bembo [Written-By],
George Saxon,George Saxon,Bellissima,B1,3:30,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Adriano Celentano | Luciano Beretta | Michele del Prete,Adriano Celentano [Written-By] | Luciano Beretta [Written-By] | Michele del Prete [Written-By],
George Saxon,George Saxon,Più Ci Penso,B2,3:40,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Giancarlo Bigazzi | Gianni Bella,Giancarlo Bigazzi [Written-By] | Gianni Bella [Written-By],
George Saxon,George Saxon,Walking Sax,B3,3:20,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Johnny Cabildo,Johnny Cabildo [Written-By],
George Saxon,George Saxon,Innamorata,B4,4:02,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Antonello De Sanctis | Flavio Paulin | Ivano Michetti,Antonello De Sanctis [Written-By] | Flavio Paulin [Written-By] | Ivano Michetti [Written-By],
George Saxon,George Saxon,Rock Your Baby,B5,3:00,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Harry Wayne Casey & Richard Finch,Harry Wayne Casey & Richard Finch [Written-By],
George Saxon,George Saxon,Door To Door,B6,2:47,A Saxophone Around The World - 8a Raccolta,1974,Italy,Joker (2),SM 3733,Vinyl / LP | Album | Stereo,"Jazz, Funk / Soul","Disco, Easy Listening, Latin Jazz",Comp. Ita,https://www.discogs.com/release/3557765-George-Saxon-A-Saxophone-Around-The-World-8a-Raccolta,https://i.discogs.com/r2IHR1jZtBgFQWF3I_8xpaJwxF7Agm0DPn6Cm5Fqgfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTc3/NjUtMTYxMzQxMTk4/OC00MDk3LmpwZWc.jpeg,Alberto Baldan Bembo,Alberto Baldan Bembo [Written-By],
Milva,Various,Inno All'Amore = Hymne À L'Amour,A1,3:22,"Incontro Con: Iva Zanicchi, Mina, Ornella Vanoni, Milva",1975,Italy,"Penny (2), Penny (2)","REL-ST 19269, REL ST 19269",Vinyl / LP | Compilation | Reissue,"Pop, Folk, World, & Country","Chanson, Ballad, Vocal",Comp. Ita,https://www.discogs.com/release/13709196-Various-Incontro-Con-Iva-Zanicchi-Mina-Ornella-Vanoni-Milva,https://i.discogs.com/ro55gr_-El6Jy9x5TrE2FKCCQxYXUymqbJGUW2w_Jno/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNzA5/MTk2LTE1NTk1MTYx/NDUtNjU3Ny5qcGVn.jpeg,Edith Piaf | Giovanna Colombi | Marguerite Monnot,Edith Piaf [Written-By] | Giovanna Colombi [Written-By] | Marguerite Monnot [Written-By],
Mina (3),Various,Tu Non Mi Lascerai,A2,2:20,"Incontro Con: Iva Zanicchi, Mina, Ornella Vanoni, Milva",1975,Italy,"Penny (2), Penny (2)","REL-ST 19269, REL ST 19269",Vinyl / LP | Compilation | Reissue,"Pop, Folk, World, & Country","Chanson, Ballad, Vocal",Comp. Ita,https://www.discogs.com/release/13709196-Various-Incontro-Con-Iva-Zanicchi-Mina-Ornella-Vanoni-Milva,https://i.discogs.com/ro55gr_-El6Jy9x5TrE2FKCCQxYXUymqbJGUW2w_Jno/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNzA5/MTk2LTE1NTk1MTYx/NDUtNjU3Ny5qcGVn.jpeg,Giovanni D'Anzi | Leo Chiosso | Michele Galdieri,Giovanni D'Anzi [Written-By] | Leo Chiosso [Written-By] | Michele Galdieri [Written-By],
Ornella Vanoni,Various,Un Jour Tu Verras,A3,2:53,"Incontro Con: Iva Zanicchi, Mina, Ornella Vanoni, Milva",1975,Italy,"Penny (2), Penny (2)","REL-ST 19269, REL ST 19269",Vinyl / LP | Compilation | Reissue,"Pop, Folk, World, & Country","Chanson, Ballad, Vocal",Comp. Ita,https://www.discogs.com/release/13709196-Various-Incontro-Con-Iva-Zanicchi-Mina-Ornella-Vanoni-Milva,https://i.discogs.com/ro55gr_-El6Jy9x5TrE2FKCCQxYXUymqbJGUW2w_Jno/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNzA5/MTk2LTE1NTk1MTYx/NDUtNjU3Ny5qcGVn.jpeg,Enzo Luigi Poletto | Georges Van Parys | Larici | Mouloudji,Enzo Luigi Poletto [Written-By] | Georges Van Parys [Written-By] | Larici [Written-By] | Mouloudji [Written-By],
Iva Zanicchi,Various,Un Uomo Senza Tempo = Mi Viejo,A4,3:35,"Incontro Con: Iva Zanicchi, Mina, Ornella Vanoni, Milva",1975,Italy,"Penny (2), Penny (2)","REL-ST 19269, REL ST 19269",Vinyl / LP | Compilation | Reissue,"Pop, Folk, World, & Country","Chanson, Ballad, Vocal",Comp. Ita,https://www.discogs.com/release/13709196-Various-Incontro-Con-Iva-Zanicchi-Mina-Ornella-Vanoni-Milva,https://i.discogs.com/ro55gr_-El6Jy9x5TrE2FKCCQxYXUymqbJGUW2w_Jno/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNzA5/MTk2LTE1NTk1MTYx/NDUtNjU3Ny5qcGVn.jpeg,Ettore Lombardi | Piero & José,Ettore Lombardi [Written-By] | Piero & José [Written-By],
Milva,Various,Albergo A Ore = Les Amants D'Un Jour,A5,3:11,"Incontro Con: Iva Zanicchi, Mina, Ornella Vanoni, Milva",1975,Italy,"Penny (2), Penny (2)","REL-ST 19269, REL ST 19269",Vinyl / LP | Compilation | Reissue,"Pop, Folk, World, & Country","Chanson, Ballad, Vocal",Comp. Ita,https://www.discogs.com/release/13709196-Various-Incontro-Con-Iva-Zanicchi-Mina-Ornella-Vanoni-Milva,https://i.discogs.com/ro55gr_-El6Jy9x5TrE2FKCCQxYXUymqbJGUW2w_Jno/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNzA5/MTk2LTE1NTk1MTYx/NDUtNjU3Ny5qcGVn.jpeg,Claude Delécluse | Herbert Pagani | Marguerite Monnot | Michelle Senlis,Claude Delécluse [Written-By] | Herbert Pagani [Written-By] | Marguerite Monnot [Written-By] | Michelle Senlis [Written-By],
