Artista,Artista Album,Titolo,Posizione,Durata,Album,Anno,Paese,Etichetta,Catalogo,Formato,Genere,Stile,Cartella,URL Discogs,Cover,Written By,Crediti Traccia,Note
"Life, Love & Liberty",Various,Young Boy,B3,1:58,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Ekke Lehmann,"Gloria Schwartz [Arranged By] | Ekke Lehmann [Arranged By, Written-By]",
Thompson Twins,Various,Love On Your Side (Rap Boy Rap),B4,1:57,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Alannah Currie | Joe Leeway | Tom Bailey,Alex Sadkin [Producer] | Alannah Currie [Written-By] | Joe Leeway [Written-By] | Tom Bailey [Written-By],
Michael Heart,Various,Some Girls,B5,2:42,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Bruno Kassar,"Pino Toma [Producer] | Bruno Kassar [Written-By, Producer]",
K.I.D.,Various,Lonely Lady,B6,2:40,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Dario Farina | Geoff Bastow,Dario Farina [Written-By] | Geoff Bastow [Written-By],
Morris Albert,Various,Feelings,B7,3:16,Mixage,1983,Italy,Baby Records (2),BR 56051,Vinyl / LP | Mixed | Compilation,"Electronic, Pop","Italo-Disco, Synth-pop",Comp. Est,https://www.discogs.com/release/1042508-Various-Mixage,https://i.discogs.com/cJugkfq8HlGPFTWA_UxFuGNa_sguq0kPZihO_ReuBrY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/MDgtMTM2Nzg2ODA5/My05ODY0LmpwZWc.jpeg,Morris Albert,Morris Albert [Written-By],
On The House,Various,Let's Get Busy,A1,,Trax House Masters,1988,UK,Blatant (2),BLATLP 7,Vinyl / LP | Compilation,Electronic,"House, Acid House",Comp. Est,https://www.discogs.com/release/68213-Various-Trax-House-Masters,https://i.discogs.com/Xvnm_c3kLwwQDgn3gRRToiN9U-mmSgBAfk5sBqtzK-M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4MjEz/LTE1NTIzMDU4MzQt/MTI4NS5qcGVn.jpeg,,,
Pleasure Zone,Various,House Nation (Remix),A2,,Trax House Masters,1988,UK,Blatant (2),BLATLP 7,Vinyl / LP | Compilation,Electronic,"House, Acid House",Comp. Est,https://www.discogs.com/release/68213-Various-Trax-House-Masters,https://i.discogs.com/Xvnm_c3kLwwQDgn3gRRToiN9U-mmSgBAfk5sBqtzK-M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4MjEz/LTE1NTIzMDU4MzQt/MTI4NS5qcGVn.jpeg,,,
Dalis,Various,Rock Steady,A3,,Trax House Masters,1988,UK,Blatant (2),BLATLP 7,Vinyl / LP | Compilation,Electronic,"House, Acid House",Comp. Est,https://www.discogs.com/release/68213-Various-Trax-House-Masters,https://i.discogs.com/Xvnm_c3kLwwQDgn3gRRToiN9U-mmSgBAfk5sBqtzK-M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4MjEz/LTE1NTIzMDU4MzQt/MTI4NS5qcGVn.jpeg,,,
Mr Lee,Various,House This House,A4,,Trax House Masters,1988,UK,Blatant (2),BLATLP 7,Vinyl / LP | Compilation,Electronic,"House, Acid House",Comp. Est,https://www.discogs.com/release/68213-Various-Trax-House-Masters,https://i.discogs.com/Xvnm_c3kLwwQDgn3gRRToiN9U-mmSgBAfk5sBqtzK-M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4MjEz/LTE1NTIzMDU4MzQt/MTI4NS5qcGVn.jpeg,,,
Frankie Knuckles,Various,Baby Wants To Ride,A5,,Trax House Masters,1988,UK,Blatant (2),BLATLP 7,Vinyl / LP | Compilation,Electronic,"House, Acid House",Comp. Est,https://www.discogs.com/release/68213-Various-Trax-House-Masters,https://i.discogs.com/Xvnm_c3kLwwQDgn3gRRToiN9U-mmSgBAfk5sBqtzK-M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4MjEz/LTE1NTIzMDU4MzQt/MTI4NS5qcGVn.jpeg,,,
